21.543 0 0
24.975 20 8694
25.116 20 12631
25.194 20 9512
25.319 13 35517
25.412 12 50599
25.537 11 65535
25.662 10 65535
25.755 12 65535
25.88 23 65535
25.989 107 65535
26.099 115 65535
26.192 167 65535
26.333 215 65535
26.411 228 65535
26.535 229 65535
26.66 248 43281
26.769 329 47034
26.879 343 64129
26.972 374 41880
27.659 359 57109
27.752 339 65535
27.877 318 65535
27.971 297 65535
28.095 278 65535
28.22 258 65535
28.329 237 65535
28.454 218 65535
28.532 201 65535
28.657 180 65535
28.751 161 65535
28.875 147 65535
29 123 65535
29.094 107 65535
29.219 85 65535
29.328 73 65535
29.437 49 65535
29.546 31 65535
29.655 17 65535
29.78 10 65535
29.889 10 65535
29.983 11 65535
30.108 263 65535
30.217 10 65535
30.311 175 8596
30.654 171 4517
31.652 16 41898
32.214 13 33474
32.775 17 34356
32.885 17 65535
32.994 17 37411
33.119 17 35312
33.212 20 65535
36.675 45 65535
36.785 39 65535
36.909 45 65535
37.003 68 65535
37.128 99 65535
37.221 132 65535
37.346 152 65535
37.487 170 65535
37.565 210 63652
37.705 219 44114
37.767 247 65535
37.892 281 32668
37.986 281 55627
38.111 312 34689
38.235 343 53548
39.546 347 50537
39.795 319 58007
39.889 301 54593
40.014 290 43559
40.107 274 65535
40.248 258 65535
40.326 252 57874
40.451 234 65535
40.591 238 56724
40.669 206 65535
40.794 194 65535
40.903 186 65535
41.012 172 65535
41.106 160 65535
41.246 146 65535
41.34 139 65535
41.449 124 65535
41.636 113 65535
41.683 104 65535
41.792 96 65535
41.901 90 65535
42.011 90 65535
42.354 68 65535
42.572 47 65535
42.666 49 65535
47.346 117 65535
47.471 125 65535
47.611 144 65535
47.689 193 53635
47.783 230 65535
47.923 232 53837
49.031 373 65535
49.124 350 65535
49.249 351 57722
49.343 313 65535
49.467 299 65535
49.811 240 65535
49.92 220 65535
50.045 202 37462
50.123 196 61954
50.247 181 56853
50.341 163 39011
50.591 145 40938
50.684 139 26954
57.267 82 65535
57.361 96 62579
57.486 135 65535
57.611 145 35976
57.72 178 65535
57.798 192 56734
57.923 213 65535
58.266 310 40092
58.359 307 65535
58.578 349 37909
59.483 383 46644
59.623 379 65535
59.717 363 65535
59.919 362 65535
60.044 347 65535
60.138 346 65535
60.263 335 65535
60.372 331 65535
60.497 320 65535
60.606 314 65535
60.699 304 65535
60.824 301 65535
60.918 293 65535
61.058 290 65535
61.152 286 65535
61.261 282 65535
61.401 272 65535
61.479 269 50941
61.604 269 61794
61.698 256 57901
61.838 254 65535
61.916 259 55414
62.166 241 65535
